Flight operators,Price on cleartrip,price on Paytm
SpiceJetSG-8198,"8,170","8,800"
IndiGo6E-6813,"8,297","8,297"
IndiGo6E-2406,"8,529","8,529"
Akasa AirQP-1405,"8,601","8,601"
Air IndiaAI-808,"8,611","8,611"
SpiceJetSG-8136,"8,800","8,800"
VistaraUK-814,"8,926","8,926"
IndiGo6E-6247,"9,515","9,515"
Akasa AirQP-1359,"9,951","9,951"
IndiGo6E-735,"10,250","10,250"
IndiGo6E-5021,"10,250","10,250"
Air IndiaAI-503,"10,711","10,711"
Air IndiaAI-804,"10,711","10,711"
Air IndiaAI-513,"10,711","10,711"
Air IndiaAI-509,"10,711","10,711"
VistaraUK-802,"10,774","10,774"
VistaraUK-818,"10,774","10,774"
IndiGo6E-122,"11,115","10,250"
IndiGo6E-861,"11,115","11,115"
IndiGo6E-6621,"11,115","11,115"
IndiGo6E-2174,"11,968","11,968"
